,Customer ID,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Population,Churn Value,CLTV,Churn Type,Churn Reason,Total Customer Svc Requests,Product/Service Issues Reported,Customer Satisfaction
10,0094-OIFMO,0,0,11,4,1,11.59,0,1,2,32,0,1,0,0,1,1,0,0,0,1,0,98.8,1120.3,0.0,358.0,127.49,1,78,0,1,0,1,1,North Hollywood,91605,34.207295,-118.400022,57146,1,5980,Dissatisfaction,Product dissatisfaction,2,2,1
11,9947-OTFQU,0,0,15,4,1,29.11,0,1,2,32,0,1,0,0,0,0,0,0,0,1,0,77.376,1074.3,0.0,344.0,436.65,0,65,0,1,0,0,0,Covina,91722,34.097345,-117.906736,33817,1,4616,Competitor,Competitor had better devices,0,0,0
12,9514-JDSKI,1,1,1,5,0,0.0,0,1,3,13,0,1,0,0,1,0,0,1,0,0,0,41.808,40.2,0.0,0.0,0.0,0,77,0,1,1,0,0,El Monte,91732,34.074492,-118.01462,62660,1,5828,Dissatisfaction,Limited range of services,2,0,0
13,7273-TEFQD,0,0,3,5,0,0.0,0,1,2,31,0,0,1,0,0,1,1,0,0,1,0,42.796,132.2,0.0,41.0,0.0,0,67,0,1,0,0,0,La Puente,91746,34.038983,-117.991372,30802,1,2314,Price,Long distance charges,7,1,2
14,3606-TWKGI,0,0,13,4,1,32.68,1,1,3,12,0,1,1,0,1,1,0,0,0,1,0,111.176,1364.3,0.0,164.0,424.84,0,68,0,1,0,0,0,Rowland Heights,91748,33.976753,-117.897367,46342,1,2494,Competitor,Competitor had better devices,1,2,1
15,4385-GZQXV,0,0,16,4,1,9.43,0,1,1,10,0,0,0,1,1,1,1,0,0,1,0,98.228,1511.2,0.0,151.0,150.88,1,68,0,1,0,0,0,Ontario,91764,34.074087,-117.605618,49474,1,3810,Competitor,Competitor had better devices,0,0,0
16,3488-PGMQJ,0,0,8,0,1,1.78,0,1,3,8,0,1,0,0,0,0,0,1,0,1,0,77.48,606.55,0.0,0.0,14.24,0,66,0,1,0,0,0,Alpine,91901,32.827184,-116.703729,16486,1,4345,Dissatisfaction,Poor expertise of online support,5,2,0
17,7534-BFESC,0,0,24,3,1,30.87,1,1,1,16,0,0,0,0,0,0,0,1,0,1,0,79.144,1712.7,0.0,0.0,740.88,0,69,0,1,0,0,0,San Diego,92122,32.85723,-117.209774,34902,1,2018,Competitor,Competitor made better offer,0,0,0
18,8098-LLAZX,0,0,4,5,1,31.61,1,1,3,2,0,0,0,0,1,1,0,0,0,1,0,99.268,396.1,0.0,8.0,126.44,1,74,0,1,0,0,0,San Diego,92122,32.85723,-117.209774,34902,1,3677,Competitor,Competitor made better offer,4,0,3
19,0265-EDXBD,1,2,32,3,1,47.34,1,1,2,11,0,0,0,0,0,0,0,0,0,1,0,77.896,2303.35,0.0,253.0,1514.88,0,76,0,1,1,0,0,San Diego,92122,32.85723,-117.209774,34902,1,4105,Attitude,Attitude of support person,4,0,0
20,2840-XANRC,1,1,24,3,1,16.1,0,1,1,13,0,0,1,0,1,1,1,1,0,1,0,96.876,2231.05,0.0,0.0,386.4,0,77,0,1,1,0,0,San Diego,92122,32.85723,-117.209774,34902,1,2212,Competitor,Competitor made better offer,1,0,0
21,5020-ZSTTY,0,0,54,2,1,12.08,1,1,2,6,1,1,0,1,1,1,1,1,1,0,0,85.748,4350.1,0.0,0.0,652.32,1,70,0,1,0,0,0,San Diego,92122,32.85723,-117.209774,34902,1,4149,Competitor,Competitor made better offer,3,0,0
22,5804-LEPIM,0,0,2,5,1,13.17,0,1,1,11,0,0,0,0,0,0,0,0,0,1,0,73.164,139.05,0.0,15.0,26.34,1,74,0,1,0,0,0,San Diego,92122,32.85723,-117.209774,34902,1,2671,Other,Don't know,4,0,3
23,0623-IIHUG,0,0,21,0,0,0.0,0,1,2,9,1,0,0,0,1,0,0,1,0,1,0,43.576,840.1,0.0,0.0,0.0,1,77,0,1,0,0,0,San Diego,92122,32.85723,-117.209774,34902,1,4778,Competitor,Competitor made better offer,2,0,0
24,9057-MSWCO,0,0,27,0,0,0.0,0,1,2,14,1,0,0,0,0,0,0,0,0,0,1,31.98,805.1,0.0,113.0,0.0,0,71,0,1,1,0,0,San Diego,92122,32.85723,-117.209774,34902,1,2927,Competitor,Competitor made better offer,2,0,0
25,4895-TMWIR,1,1,11,0,1,29.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19.95,214.75,0.0,0.0,324.94,0,79,0,1,1,0,0,San Diego,92122,32.85723,-117.209774,34902,1,5888,Competitor,Competitor made better offer,2,0,0
26,0533-BNWKF,1,2,55,2,1,42.82,1,1,2,30,0,1,1,0,0,0,0,1,0,1,0,88.868,4874.7,0.0,0.0,2355.1,1,66,0,1,1,0,0,San Diego,92122,32.85723,-117.209774,34902,1,5502,Competitor,Competitor made better offer,4,0,0
27,0334-GDDSO,0,0,3,5,1,9.22,1,1,3,15,0,1,0,0,0,0,0,1,0,1,0,84.604,233.7,0.0,3.51,27.66,0,77,0,1,0,0,0,San Diego,92122,32.85723,-117.209774,34902,1,2818,Competitor,Competitor made better offer,1,3,1
28,5564-NEMQO,0,0,1,5,1,35.09,0,1,3,19,0,0,1,0,0,0,0,1,0,1,0,78.312,75.3,0.0,0.0,35.09,1,80,0,1,0,0,0,Thermal,92274,33.53604,-116.119222,17018,1,4902,Dissatisfaction,Network reliability,7,1,2
29,6235-VDHOM,0,0,5,5,0,0.0,0,1,3,29,0,1,0,0,0,0,0,0,0,0,0,29.588,131.05,0.0,38.0,0.0,1,77,0,1,0,0,0,Riverside,92509,34.004379,-117.447864,63999,1,4099,Dissatisfaction,Limited range of services,4,0,2
30,5609-CEBID,0,0,20,0,1,48.73,1,1,1,13,0,1,1,0,0,1,0,0,0,1,0,97.864,1782.4,0.0,232.0,974.6,1,77,0,1,0,0,0,Hemet,92544,33.644585,-116.871544,39264,1,2666,Competitor,Competitor had better devices,4,1,1
31,5956-VKDTT,1,4,5,5,1,45.76,1,1,1,24,0,0,0,0,0,0,0,0,0,1,0,77.324,334.8,0.0,80.0,228.8,1,72,0,1,1,0,0,Moreno Valley,92557,33.970661,-117.255039,46214,1,5273,Dissatisfaction,Product dissatisfaction,4,2,1
32,0257-ZESQC,1,2,27,0,1,7.02,0,1,2,28,1,0,0,0,0,0,0,1,0,1,0,78.208,1929.35,0.0,0.0,189.54,1,80,0,1,1,0,0,Perris,92571,33.828289,-117.201666,26357,1,4517,Attitude,Attitude of support person,1,0,0
33,2865-TCHJW,0,0,4,0,1,48.35,1,1,3,26,0,0,1,0,1,0,0,1,0,1,0,92.768,346.2,0.0,0.0,193.4,1,74,0,1,0,0,0,Anaheim,92807,33.848733,-117.788357,36301,1,5808,Competitor,Competitor had better devices,2,2,1
34,5192-EBGOV,0,0,1,0,1,45.81,1,1,3,23,0,0,0,0,1,0,0,0,0,1,0,89.128,85.7,0.0,0.0,45.81,1,68,0,1,0,0,0,Brea,92823,33.924143,-117.79387,1408,1,4880,Competitor,Competitor had better devices,5,1,1
35,3419-SNJJD,1,3,65,2,1,18.39,1,1,3,31,1,0,1,0,1,1,0,1,0,0,0,109.46,6786.4,0.0,0.0,1195.35,1,78,0,1,1,0,0,Yorba Linda,92887,33.884073,-117.732197,20893,1,4196,Attitude,Attitude of support person,5,0,0
36,4554-YGZIH,1,3,49,2,1,22.92,1,1,3,15,0,1,0,0,0,1,0,1,0,0,1,93.652,4547.25,0.0,0.0,1123.08,0,75,0,1,1,0,0,Summerland,93067,34.420998,-119.60137,576,1,5059,Competitor,Competitor made better offer,5,0,2
37,5099-BAILX,1,1,43,2,1,14.52,1,1,2,6,0,1,1,1,1,1,0,1,0,1,0,115.18,4687.9,0.0,0.0,624.36,0,77,0,1,1,0,0,Santa Barbara,93101,34.419203,-119.710008,31727,1,2728,Competitor,Competitor made better offer,1,1,2
38,4913-EHYUI,0,0,56,2,1,48.8,1,1,2,13,1,0,1,0,1,1,0,0,1,1,0,108.732,5794.65,0.0,753.0,2732.8,0,80,0,1,1,0,0,Alpaugh,93201,35.869626,-119.498771,1054,1,6268,Competitor,Competitor offered higher download speeds,0,0,0
39,1626-ERCMM,1,7,20,0,1,5.31,1,1,3,11,0,0,0,0,1,1,1,0,0,1,0,98.332,1899.65,0.0,209.0,106.2,0,75,0,1,1,0,0,Camp Nelson,93208,36.057458,-118.591951,191,1,5604,Competitor,Competitor had better devices,2,3,0
40,5644-PDMZC,0,0,2,0,1,47.47,1,1,2,21,0,1,0,0,0,1,1,0,0,0,0,93.08,161.5,0.0,34.0,94.94,1,69,0,1,0,0,0,Delano,93215,35.772244,-119.209689,37280,1,2065,Attitude,Attitude of support person,5,0,0
41,4160-AMJTL,0,0,8,0,1,27.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.65,164.3,0.0,0.0,223.6,1,74,0,1,0,0,0,Fellows,93224,35.215731,-119.57013,626,1,5432,Attitude,Attitude of support person,6,0,0
42,0823-HSCDJ,0,0,52,0,0,0.0,0,1,3,20,0,1,0,0,1,1,1,1,0,1,0,51.116,2550.9,0.0,0.0,0.0,0,76,0,1,0,0,0,Temecula,92592,33.507255,-117.029473,46171,1,5597,Competitor,Competitor made better offer,1,1,2
43,0067-DKWBL,0,0,2,0,1,43.99,0,1,1,30,1,0,0,0,0,0,0,0,0,1,0,51.22,91.1,0.0,27.0,87.98,0,69,0,1,0,0,0,San Diego,92129,32.961064,-117.134917,47224,1,3475,Competitor,Competitor made better offer,5,0,2
44,5244-IRFIH,1,1,33,0,1,27.78,1,1,1,9,0,0,0,0,1,1,0,0,0,1,0,98.28,3105.55,0.0,279.0,916.74,0,72,0,1,1,0,0,San Diego,92129,32.961064,-117.134917,47224,1,4333,Other,Poor expertise of online support,2,2,0
45,2684-EIWEO,0,0,30,0,1,45.88,1,1,3,21,1,1,1,0,0,0,0,0,0,0,1,95.368,2758.15,0.0,579.0,1376.4,1,69,0,1,0,0,0,San Diego,92129,32.961064,-117.134917,47224,1,2482,Competitor,Competitor made better offer,4,1,0
46,6683-VLCTZ,0,0,20,0,1,44.44,1,1,3,14,0,0,1,0,1,1,0,0,0,1,0,102.492,1842.8,0.0,258.0,888.8,0,73,0,1,0,0,0,San Diego,92129,32.961064,-117.134917,47224,1,5444,Competitor,Competitor made better offer,5,0,0
47,0691-IFBQW,0,0,46,0,1,2.37,1,1,2,22,1,1,1,0,1,1,1,0,1,1,0,114.4,4874.8,0.0,1072.0,109.02,1,65,0,1,0,0,0,Biola,93606,36.798882,-120.019511,807,1,2403,Competitor,Competitor made better offer,4,0,0
48,3643-AHCFP,1,1,7,0,1,21.91,1,1,3,12,0,0,0,0,1,1,0,0,0,1,0,99.424,644.35,0.0,77.0,153.37,0,74,0,1,1,0,0,Selma,93662,36.545322,-119.642281,26213,1,3265,Competitor,Competitor made better offer,1,0,0
49,9231-ZJYAM,0,0,4,0,1,36.93,0,1,3,20,0,0,0,0,1,0,0,0,0,1,0,82.004,292.8,0.0,59.0,147.72,1,65,0,1,0,0,0,Squaw Valley,93675,36.719141,-119.202677,3146,1,5301,Other,Moved,3,2,0
50,0727-BMPLR,0,0,55,0,1,37.38,1,1,3,8,0,0,1,0,1,1,1,0,1,1,0,104.0,5509.3,0.0,441.0,2055.9,1,66,0,1,0,0,0,Fresno,93706,36.654614,-119.903674,35790,1,5679,Competitor,Competitor offered higher download speeds,6,0,0
51,0947-MUGVO,1,1,20,0,1,5.37,0,1,3,26,0,1,0,0,0,0,0,1,0,1,0,76.596,1463.5,0.0,0.0,107.4,0,71,0,1,1,0,0,Jolon,93928,35.930782,-121.189757,254,1,5849,Competitor,Competitor had better devices,0,0,0
52,0781-LKXBR,0,0,9,0,1,48.71,1,1,3,16,0,0,1,0,1,1,1,0,0,1,0,104.52,918.6,0.0,147.0,438.39,0,65,0,1,0,0,0,San Francisco,94102,37.7795,-122.419233,28998,1,4038,Competitor,Competitor had better devices,4,1,1
53,1907-UBQFC,0,0,10,0,1,5.46,0,1,2,26,0,1,0,0,0,0,0,0,0,1,0,75.764,688.65,0.0,179.0,54.6,0,69,0,1,0,0,0,San Francisco,94108,37.791998,-122.408653,13723,1,3189,Competitor,Competitor had better devices,5,4,0
54,6513-EECDB,0,0,1,0,1,36.92,1,1,3,7,0,0,0,0,0,0,0,1,0,1,0,76.492,73.55,0.0,0.0,36.92,0,75,0,1,1,0,0,San Francisco,94114,37.758085,-122.434801,30587,1,4369,Price,Price too high,2,0,2
55,7074-IEVOJ,0,0,3,0,1,41.9,1,1,3,12,0,1,0,0,0,0,0,0,0,1,0,82.576,205.05,0.0,25.0,125.7,1,75,0,1,0,0,0,San Francisco,94130,37.820894,-122.369725,1458,1,3501,Dissatisfaction,Product dissatisfaction,5,1,0
56,4750-ZRXIU,0,0,4,0,1,6.68,1,1,2,19,0,0,0,0,0,1,0,1,0,1,0,87.984,360.1,0.0,6.84,26.72,1,68,0,1,0,0,0,Palo Alto,94304,37.386978,-122.177746,1723,1,2467,Competitor,Competitor had better devices,6,1,1
57,7028-DVOIQ,0,0,35,0,1,20.83,1,1,3,21,0,0,1,0,1,1,0,1,0,1,0,103.012,3395.8,0.0,0.0,729.05,0,71,0,1,0,0,0,Birds Landing,94512,38.140719,-121.838298,138,1,2074,Other,Don't know,5,1,1
58,4208-UFFGW,0,0,2,5,1,26.62,0,1,1,12,0,0,0,0,0,0,0,0,0,0,1,46.748,85.15,0.0,10.0,53.24,0,80,0,1,0,0,0,Byron,94514,37.83323,-121.601461,10153,1,5900,Other,Don't know,5,2,2
59,9889-TMAHG,0,0,8,0,1,11.57,0,1,2,30,1,0,0,1,1,1,1,0,0,0,1,104.312,832.35,0.0,250.0,92.56,0,66,0,1,0,0,0,Fremont,94539,37.516791,-121.899117,46917,1,5084,Competitor,Competitor had better devices,2,5,1
60,8919-FYFQZ,1,2,44,0,0,0.0,0,1,3,31,0,1,0,0,0,0,0,0,0,1,0,31.564,1359.7,0.0,422.0,0.0,0,73,0,1,1,0,0,Livermore,94550,37.571748,-121.659562,75929,1,4829,Competitor,Competitor had better devices,4,4,1
61,6646-QVXLR,1,1,62,0,1,7.11,1,1,1,18,0,1,1,0,1,1,1,0,1,1,0,107.9,6383.35,0.0,1149.0,440.82,0,77,0,1,1,0,0,Napa,94558,38.489789,-122.27011,63947,1,5052,Competitor,Competitor had better devices,1,2,0
62,9369-XFEHK,1,1,33,0,1,33.19,1,1,2,16,0,1,0,0,0,0,0,1,0,1,0,83.824,2656.5,0.0,0.0,1095.27,1,76,0,1,1,0,0,Pleasanton,94566,37.633361,-121.862395,36669,1,3601,Competitor,Competitor offered more data,2,0,2
63,1374-DMZUI,0,0,4,5,1,49.5,1,1,3,25,0,0,0,0,1,1,1,0,0,1,0,98.072,424.45,0.0,106.0,198.0,1,65,0,1,0,0,0,San Ramon,94583,37.766556,-121.976784,44078,1,5419,Competitor,Competitor made better offer,0,0,0
64,1989-PRJHP,1,1,27,0,1,10.6,1,1,3,25,0,0,0,0,0,0,0,0,0,1,0,78.52,1893.95,0.0,473.0,286.2,0,75,0,1,1,0,0,Pleasanton,94588,37.685052,-121.912061,28568,1,2377,Competitor,Competitor had better devices,1,3,1
65,4822-RVYBB,0,0,8,5,1,40.45,1,1,3,32,0,0,1,0,1,1,0,1,0,1,0,104.624,819.4,0.0,0.0,323.6,0,75,0,1,0,0,0,Berkeley,94704,37.871416,-122.246597,21205,1,5906,Attitude,Attitude of support person,4,0,1
66,4184-TJFAN,1,1,3,5,1,25.77,0,1,2,2,1,0,0,1,1,0,0,0,0,1,2,91.832,273.75,0.0,5.0,77.31,1,68,0,1,1,0,0,Berkeley,94707,37.897753,-122.279391,11889,1,4486,Attitude,Attitude of support person,2,0,1
67,4145-UQXUQ,0,0,8,5,1,42.93,0,1,3,10,0,0,1,0,1,1,0,1,0,1,0,95.784,729.95,0.0,0.0,343.44,1,71,0,1,0,0,0,Berkeley,94710,37.872902,-122.303708,8157,1,5662,Competitor,Competitor had better devices,0,0,0
68,1236-WFCDV,0,0,14,0,1,11.31,0,1,2,26,0,0,0,0,1,1,0,0,0,0,1,94.068,1266.1,0.0,329.0,158.34,0,74,0,1,0,0,0,Greenbrae,94904,37.946617,-122.563571,12010,1,4777,Competitor,Competitor offered more data,0,0,0
69,1271-SJBGZ,0,0,12,0,0,0.0,0,1,3,11,0,0,1,1,0,1,0,0,0,1,0,45.396,526.95,0.0,58.0,0.0,0,77,0,1,0,0,0,Forest Knolls,94933,38.010092,-122.689442,1025,1,2437,Competitor,Competitor had better devices,2,4,0
70,4441-NIHPT,0,0,13,0,1,40.37,0,1,2,23,0,0,1,0,0,0,0,0,0,1,0,77.272,940.35,0.0,216.0,524.81,1,73,0,1,0,0,0,Freedom,95019,36.936228,-121.785559,4753,1,2995,Competitor,Competitor had better devices,1,2,0
71,8999-BOHSE,0,0,11,0,1,3.96,0,1,3,30,0,0,0,0,1,1,0,0,0,0,0,93.288,1047.7,0.0,314.0,43.56,1,68,0,1,0,0,0,Gilroy,95020,37.03889,-121.528955,49968,1,2202,Attitude,Attitude of support person,4,0,0
72,7029-RPUAV,1,1,17,0,1,28.18,1,1,3,18,0,0,1,0,1,1,0,1,0,1,1,104.468,1622.45,0.0,0.0,479.06,0,74,0,1,1,0,0,Los Gatos,95030,37.222842,-121.988727,13290,1,5508,Competitor,Competitor offered more data,0,0,0
73,8111-SLLHI,1,1,39,0,1,33.25,1,1,2,29,0,1,1,0,1,1,1,0,0,1,0,109.876,4284.8,0.0,1243.0,1296.75,0,65,0,1,1,0,0,San Jose,95128,37.316146,-121.936285,32804,1,4687,Attitude,Attitude of support person,4,0,0
74,5293-WXJAK,1,5,11,0,1,17.25,1,1,3,30,0,0,1,1,1,1,0,0,0,1,0,108.212,1133.65,0.0,340.0,189.75,1,73,0,1,1,0,0,San Jose,95135,37.28682,-121.723877,15798,1,4553,Competitor,Competitor offered more data,1,0,0
75,4086-YQSNZ,1,1,3,5,1,3.29,0,1,3,10,0,0,0,0,1,0,0,1,0,1,0,83.616,224.05,0.0,0.0,9.87,1,74,0,1,1,0,0,Glencoe,95232,38.358464,-120.579304,21,1,3834,Attitude,Attitude of service provider,0,0,0
76,8399-YNDCH,0,0,21,0,1,34.62,0,1,3,15,0,0,1,0,1,0,0,0,0,1,0,62.452,1236.15,0.0,185.0,727.02,0,80,0,1,0,0,0,Columbia,95310,38.085839,-120.37855,2144,1,4716,Competitor,Competitor had better devices,1,1,1
77,5565-FILXA,0,0,16,0,1,38.75,1,1,2,18,0,0,0,0,1,1,0,0,0,1,0,99.996,1529.2,0.0,275.0,620.0,1,76,0,1,0,0,0,Escondido,92027,33.141265,-116.967221,48690,1,5913,Other,Don't know,5,0,2
78,4187-CINZD,0,0,46,0,1,6.13,0,1,3,33,0,1,0,0,1,1,0,0,1,0,1,99.06,4424.2,0.0,1460.0,281.98,1,73,0,1,0,0,0,Lakewood,90712,33.840524,-118.148403,30173,1,3180,Competitor,Competitor had better devices,1,1,0
79,6818-WOBHJ,1,1,68,1,1,24.13,1,1,2,26,0,1,0,0,0,1,0,1,0,1,0,93.184,6127.6,0.0,0.0,1640.84,1,70,0,1,1,0,0,Fulton,95439,38.493888,-122.777141,476,1,5651,Competitor,Competitor had better devices,0,0,0
80,9134-CEQMF,1,1,7,5,1,13.63,0,1,1,30,0,0,0,0,1,1,0,0,0,1,0,93.08,676.7,0.0,203.0,95.41,0,75,0,1,1,0,0,Nice,95464,39.12334,-122.838198,2223,1,3077,Dissatisfaction,Network reliability,2,2,2
81,8519-IMDHU,1,1,15,0,1,45.25,1,1,2,24,0,0,0,0,0,1,0,0,0,1,0,89.024,1345.55,0.0,323.0,678.75,0,74,0,1,1,0,0,Alderpoint,95511,40.166028,-123.584144,261,1,4981,Competitor,Competitor had better devices,3,5,0
82,3372-KWFBM,0,0,16,0,1,19.18,1,1,3,24,0,0,0,0,1,0,0,1,0,1,0,90.064,1281.0,0.0,0.0,306.88,0,76,0,1,0,0,0,Bayside,95524,40.825486,-124.049485,1689,1,2508,Dissatisfaction,Network reliability,2,2,3
83,7206-GZCDC,0,0,1,5,1,29.68,0,1,3,20,0,0,0,0,0,0,0,0,0,1,0,72.02,69.25,0.0,0.0,29.68,1,75,0,1,0,0,0,Loleta,95551,40.665952,-124.240051,1447,1,4371,Attitude,Attitude of support person,3,1,2
84,1768-ZAIFU,0,0,1,0,0,0.0,0,1,2,6,0,0,0,0,0,0,0,0,0,1,0,26.208,25.2,0.0,0.0,0.0,1,74,0,1,0,0,0,Rio Dell,95562,40.485849,-124.163234,3284,1,5688,Competitor,Competitor made better offer,2,1,0
85,3793-MMFUH,0,0,13,0,1,19.03,1,1,2,26,0,0,0,0,1,1,1,0,0,1,0,98.852,1290.0,0.0,335.0,247.39,1,73,0,1,0,0,0,Davis,95618,38.544002,-121.685559,648,1,2230,Competitor,Competitor made better offer,3,0,1
86,6567-HOOPW,0,0,1,0,1,20.06,0,1,2,26,0,0,0,0,1,0,0,0,0,1,0,82.368,79.2,0.0,0.0,20.06,1,69,0,1,0,0,0,Folsom,95630,38.672638,-121.147403,51855,1,4363,Competitor,Competitor made better offer,2,0,0
87,8621-MNIHH,1,1,34,0,1,2.88,1,1,1,4,0,1,1,0,0,1,0,1,0,1,0,98.02,3217.55,0.0,0.0,97.92,1,75,0,1,1,0,0,Madison,95653,38.674276,-121.961866,844,1,3369,Competitor,Competitor had better devices,2,2,0
88,5419-CONWX,0,0,4,0,1,12.68,0,1,3,11,0,1,1,0,1,1,1,0,0,1,1,103.792,442.85,0.0,49.0,50.72,1,65,0,1,0,0,0,Pleasant Grove,95668,38.833554,-121.498102,901,1,2268,Competitor,Competitor had better devices,4,1,0
89,7024-OHCCK,0,0,2,0,1,19.27,1,1,2,20,0,0,0,0,1,1,0,1,0,1,0,97.604,170.85,0.0,3.42,38.54,1,77,0,1,0,0,0,Sheridan,95681,38.984756,-121.345074,1219,1,4193,Other,Poor expertise of online support,4,0,0
90,5357-TZHPP,0,0,9,0,1,30.8,1,1,2,20,0,0,0,0,0,1,0,0,0,1,1,87.776,732.5,0.0,146.0,277.2,0,67,0,1,0,0,0,Wheatland,95692,39.043387,-121.409837,3600,1,5745,Attitude,Attitude of support person,8,0,0
91,0506-LVNGN,0,0,5,0,1,42.33,0,1,3,10,0,0,1,0,0,0,0,0,0,1,1,78.572,349.65,0.0,35.0,211.65,1,78,0,1,0,0,0,Rancho Cordova,95742,38.591134,-121.161585,299,1,4028,Competitor,Competitor had better devices,5,4,1
92,9809-IMGCQ,0,0,22,4,1,40.18,1,1,3,9,0,0,0,0,1,1,1,0,0,1,0,100.568,2082.95,0.0,187.0,883.96,0,65,0,1,0,0,0,Canyon Dam,95923,40.171312,-121.120605,86,1,4458,Competitor,Competitor made better offer,1,0,1
93,3254-YRILK,0,0,19,4,1,39.97,1,1,3,10,0,1,0,0,1,0,0,0,0,1,0,91.728,1775.8,0.0,178.0,759.43,0,74,0,1,0,0,0,Dobbins,95935,39.381174,-121.21191,614,1,5683,Competitor,Competitor had better devices,2,2,0
94,0529-ONKER,0,0,15,4,1,46.38,1,1,2,21,0,0,0,0,0,0,0,1,0,0,0,78.676,1146.65,0.0,0.0,695.7,0,70,0,1,0,0,0,Forest Ranch,95942,40.077028,-121.494168,1351,1,2099,Attitude,Attitude of support person,1,1,0
95,5240-IJOQT,0,0,1,0,1,11.34,1,1,2,22,0,0,0,0,0,0,0,1,0,1,0,77.688,74.7,0.0,0.0,11.34,0,69,0,1,0,0,0,Grass Valley,95949,39.099204,-121.137962,17922,1,3348,Competitor,Competitor had better devices,3,4,0
96,0661-XEYAN,0,0,1,0,0,0.0,0,1,2,29,0,0,0,0,0,0,0,1,0,1,2,26.832,25.8,0.0,0.0,0.0,1,76,0,1,0,0,0,Nevada City,95959,39.333737,-120.858667,17269,1,3884,Competitor,Competitor had better devices,2,1,0
