,Name,Team,Position,Height,College,Number,Age,Weight,Salary
48,Robert Covington,Philadelphia 76ers,SF,9-Jun,Tennessee State,33,25,215,1000000
49,Joel Embiid,Philadelphia 76ers,C,Jul-00,Kansas,21,22,250,4626960
50,Jerami Grant,Philadelphia 76ers,SF,8-Jun,Syracuse,39,22,210,845059
51,Richaun Holmes,Philadelphia 76ers,PF,10-Jun,Bowling Green,22,22,245,1074169
52,Carl Landry,Philadelphia 76ers,PF,9-Jun,Purdue,7,32,248,6500000
53,Kendall Marshall,Philadelphia 76ers,PG,4-Jun,North Carolina,5,24,200,2144772
54,T.J. McConnell,Philadelphia 76ers,PG,2-Jun,Arizona,12,24,200,525093
55,Nerlens Noel,Philadelphia 76ers,PF,11-Jun,Kentucky,4,22,228,3457800
56,Jahlil Okafor,Philadelphia 76ers,C,11-Jun,Duke,8,20,275,4582680
57,Ish Smith,Philadelphia 76ers,PG,Jun-00,Wake Forest,1,27,175,947276
58,Nik Stauskas,Philadelphia 76ers,SG,6-Jun,Michigan,11,22,205,2869440
59,Hollis Thompson,Philadelphia 76ers,SG,8-Jun,Georgetown,31,25,206,947276
60,Christian Wood,Philadelphia 76ers,PF,11-Jun,UNLV,35,20,220,525093
61,Bismack Biyombo,Toronto Raptors,C,9-Jun,N/A,8,23,245,2814000
62,Bruno Caboclo,Toronto Raptors,SF,9-Jun,N/A,20,20,205,1524000
63,DeMarre Carroll,Toronto Raptors,SF,8-Jun,Missouri,5,29,212,13600000
64,DeMar DeRozan,Toronto Raptors,SG,7-Jun,USC,10,26,220,10050000
65,James Johnson,Toronto Raptors,PF,9-Jun,Wake Forest,3,29,250,2500000
66,Cory Joseph,Toronto Raptors,PG,3-Jun,Texas,6,24,190,7000000
67,Kyle Lowry,Toronto Raptors,PG,Jun-00,Villanova,7,30,205,12000000
68,Lucas Nogueira,Toronto Raptors,C,Jul-00,N/A,92,23,220,1842000
69,Patrick Patterson,Toronto Raptors,PF,9-Jun,Kentucky,54,27,235,6268675
70,Norman Powell,Toronto Raptors,SG,4-Jun,UCLA,24,23,215,650000
71,Terrence Ross,Toronto Raptors,SF,7-Jun,Washington,31,25,195,3553917
72,Luis Scola,Toronto Raptors,PF,9-Jun,N/A,4,36,240,2900000
73,Jason Thompson,Toronto Raptors,PF,11-Jun,Rider,1,29,250,245177
74,Jonas Valanciunas,Toronto Raptors,C,Jul-00,N/A,17,24,255,4660482
75,Delon Wright,Toronto Raptors,PG,5-Jun,Utah,55,24,190,1509360
76,Leandro Barbosa,Golden State Warriors,SG,3-Jun,N/A,19,33,194,2500000
77,Harrison Barnes,Golden State Warriors,SF,8-Jun,North Carolina,40,24,225,3873398
78,Andrew Bogut,Golden State Warriors,C,Jul-00,Utah,12,31,260,13800000
79,Ian Clark,Golden State Warriors,SG,3-Jun,Belmont,21,25,175,947276
80,Stephen Curry,Golden State Warriors,PG,3-Jun,Davidson,30,28,190,11370786
81,Festus Ezeli,Golden State Warriors,C,11-Jun,Vanderbilt,31,26,265,2008748
82,Draymond Green,Golden State Warriors,PF,7-Jun,Michigan State,23,26,230,14260870
83,Andre Iguodala,Golden State Warriors,SF,6-Jun,Arizona,9,32,215,11710456
84,Shaun Livingston,Golden State Warriors,PG,7-Jun,N/A,34,30,192,5543725
85,Kevon Looney,Golden State Warriors,SF,9-Jun,UCLA,36,20,220,1131960
86,James Michael McAdoo,Golden State Warriors,SF,9-Jun,North Carolina,20,23,240,845059
87,Brandon Rush,Golden State Warriors,SF,6-Jun,Kansas,4,30,220,1270964
88,Marreese Speights,Golden State Warriors,C,10-Jun,Florida,5,28,255,3815000
89,Klay Thompson,Golden State Warriors,SG,7-Jun,Washington State,11,26,215,15501000
90,Anderson Varejao,Golden State Warriors,PF,11-Jun,N/A,18,33,273,289755
91,Cole Aldrich,Los Angeles Clippers,C,11-Jun,Kansas,45,27,250,1100602
92,Jeff Ayres,Los Angeles Clippers,PF,9-Jun,Arizona State,19,29,250,111444
93,Jamal Crawford,Los Angeles Clippers,SG,5-Jun,Michigan,11,36,195,5675000
94,Branden Dawson,Los Angeles Clippers,SF,6-Jun,Michigan State,22,23,225,525093
95,Jeff Green,Los Angeles Clippers,SF,9-Jun,Georgetown,8,29,235,9650000
96,Blake Griffin,Los Angeles Clippers,PF,10-Jun,Oklahoma,32,27,251,18907726
97,Wesley Johnson,Los Angeles Clippers,SF,7-Jun,Syracuse,33,28,215,1100602
98,DeAndre Jordan,Los Angeles Clippers,C,11-Jun,Texas A&M,6,27,265,19689000
99,Luc Richard Mbah a Moute,Los Angeles Clippers,PF,8-Jun,UCLA,12,29,230,947276
100,Chris Paul,Los Angeles Clippers,PG,Jun-00,Wake Forest,3,31,175,21468695
101,Paul Pierce,Los Angeles Clippers,SF,7-Jun,Kansas,34,38,235,3376000
102,Pablo Prigioni,Los Angeles Clippers,PG,3-Jun,N/A,9,39,185,947726
103,JJ Redick,Los Angeles Clippers,SG,4-Jun,Duke,4,31,190,7085000
104,Austin Rivers,Los Angeles Clippers,PG,4-Jun,Duke,25,23,200,3110796
105,C.J. Wilcox,Los Angeles Clippers,SG,5-Jun,Washington,30,25,195,1159680
106,Brandon Bass,Los Angeles Lakers,PF,8-Jun,LSU,2,31,250,3000000
107,Tarik Black,Los Angeles Lakers,C,9-Jun,Kansas,28,24,250,845059
108,Anthony Brown,Los Angeles Lakers,SF,7-Jun,Stanford,3,23,210,700000
109,Kobe Bryant,Los Angeles Lakers,SF,6-Jun,N/A,24,37,212,25000000
110,Jordan Clarkson,Los Angeles Lakers,PG,5-Jun,Missouri,6,24,194,845059
111,Roy Hibbert,Los Angeles Lakers,C,2-Jul,Georgetown,17,29,270,15592217
112,Marcelo Huertas,Los Angeles Lakers,PG,3-Jun,N/A,9,33,200,525093
113,Ryan Kelly,Los Angeles Lakers,PF,11-Jun,Duke,4,25,230,1724250
114,Larry Nance Jr.,Los Angeles Lakers,PF,9-Jun,Wyoming,7,23,230,1155600
115,Julius Randle,Los Angeles Lakers,PF,9-Jun,Kentucky,30,21,250,3132240
116,D'Angelo Russell,Los Angeles Lakers,PG,5-Jun,Ohio State,1,20,195,5103120
117,Robert Sacre,Los Angeles Lakers,C,Jul-00,Gonzaga,50,27,270,981348
118,Louis Williams,Los Angeles Lakers,SG,1-Jun,N/A,23,29,175,7000000
119,Metta World Peace,Los Angeles Lakers,SF,7-Jun,St. John's,37,36,260,947276
120,Nick Young,Los Angeles Lakers,SF,7-Jun,USC,0,31,210,5219169
121,Eric Bledsoe,Phoenix Suns,PG,1-Jun,Kentucky,2,26,190,13500000
122,Devin Booker,Phoenix Suns,SG,6-Jun,Kentucky,1,19,206,2127840
123,Chase Budinger,Phoenix Suns,SF,7-Jun,Arizona,10,28,209,206192
124,Tyson Chandler,Phoenix Suns,C,1-Jul,N/A,4,33,240,13000000
125,Archie Goodwin,Phoenix Suns,SG,5-Jun,Kentucky,20,21,200,1160160
126,John Jenkins,Phoenix Suns,SG,4-Jun,Vanderbilt,23,25,215,981348
127,Brandon Knight,Phoenix Suns,PG,3-Jun,Kentucky,3,24,189,13500000
128,Alex Len,Phoenix Suns,C,1-Jul,Maryland,21,22,260,3807120
129,Jon Leuer,Phoenix Suns,PF,10-Jun,Wisconsin,30,27,228,1035000
130,Phil Pressey,Phoenix Suns,PG,11-May,Missouri,25,25,175,55722
131,Ronnie Price,Phoenix Suns,PG,2-Jun,Utah Valley,14,32,190,947276
132,Mirza Teletovic,Phoenix Suns,PF,9-Jun,N/A,35,30,242,5500000
133,P.J. Tucker,Phoenix Suns,SF,6-Jun,Texas,17,31,245,5500000
134,T.J. Warren,Phoenix Suns,SF,8-Jun,North Carolina State,12,22,230,2041080
135,Alan Williams,Phoenix Suns,C,8-Jun,UC Santa Barbara,15,23,260,83397
136,Quincy Acy,Sacramento Kings,SF,7-Jun,Baylor,13,25,240,981348
137,James Anderson,Sacramento Kings,SG,6-Jun,Oklahoma State,5,27,213,1015421
138,Marco Belinelli,Sacramento Kings,SG,5-Jun,N/A,3,30,210,6060606
139,Caron Butler,Sacramento Kings,SF,7-Jun,Connecticut,31,36,228,1449187
140,Omri Casspi,Sacramento Kings,SF,9-Jun,N/A,18,27,225,2836186
141,Willie Cauley-Stein,Sacramento Kings,C,Jul-00,Kentucky,0,22,240,3398280
142,Darren Collison,Sacramento Kings,PG,Jun-00,UCLA,7,28,175,5013559
143,DeMarcus Cousins,Sacramento Kings,C,11-Jun,Kentucky,15,25,270,15851950
144,Seth Curry,Sacramento Kings,SG,2-Jun,Duke,30,25,185,947276
145,Duje Dukan,Sacramento Kings,PF,9-Jun,Wisconsin,26,24,220,525093
146,Rudy Gay,Sacramento Kings,SF,8-Jun,Connecticut,8,29,230,12403101
147,Kosta Koufos,Sacramento Kings,C,Jul-00,Ohio State,41,27,265,7700000
148,Ben McLemore,Sacramento Kings,SG,5-Jun,Kansas,23,23,195,3156600
149,Eric Moreland,Sacramento Kings,PF,10-Jun,Oregon State,25,24,238,845059
150,Rajon Rondo,Sacramento Kings,PG,1-Jun,Kentucky,9,30,186,9500000
151,Cameron Bairstow,Chicago Bulls,PF,9-Jun,New Mexico,41,25,250,845059
152,Aaron Brooks,Chicago Bulls,PG,Jun-00,Oregon,0,31,161,2250000
153,Jimmy Butler,Chicago Bulls,SG,7-Jun,Marquette,21,26,220,16407500
154,Mike Dunleavy,Chicago Bulls,SG,9-Jun,Duke,34,35,230,4500000
155,Cristiano Felicio,Chicago Bulls,PF,10-Jun,N/A,6,23,275,525093
156,Pau Gasol,Chicago Bulls,C,Jul-00,N/A,16,35,250,7448760
157,Taj Gibson,Chicago Bulls,PF,9-Jun,USC,22,30,225,8500000
158,Justin Holiday,Chicago Bulls,SG,6-Jun,Washington,7,27,185,947276
159,Doug McDermott,Chicago Bulls,SF,8-Jun,Creighton,3,24,225,2380440
160,Nikola Mirotic,Chicago Bulls,PF,10-Jun,N/A,44,25,220,5543725
161,E'Twaun Moore,Chicago Bulls,SG,4-Jun,Purdue,55,27,191,1015421
162,Joakim Noah,Chicago Bulls,C,11-Jun,Florida,13,31,232,13400000
163,Bobby Portis,Chicago Bulls,PF,11-Jun,Arkansas,5,21,230,1391160
164,Derrick Rose,Chicago Bulls,PG,3-Jun,Memphis,1,27,190,20093064
165,Tony Snell,Chicago Bulls,SF,7-Jun,New Mexico,20,24,200,1535880
166,Matthew Dellavedova,Cleveland Cavaliers,PG,4-Jun,Saint Mary's,8,25,198,1147276
167,Channing Frye,Cleveland Cavaliers,PF,11-Jun,Arizona,9,33,255,8193029
168,Kyrie Irving,Cleveland Cavaliers,PG,3-Jun,Duke,2,24,193,16407501
169,LeBron James,Cleveland Cavaliers,SF,8-Jun,N/A,23,31,250,22970500
170,Richard Jefferson,Cleveland Cavaliers,SF,7-Jun,Arizona,24,35,233,947276
171,Dahntay Jones,Cleveland Cavaliers,SG,6-Jun,Duke,30,35,225,0
172,James Jones,Cleveland Cavaliers,SG,8-Jun,Miami (FL),1,35,218,947276
173,Sasha Kaun,Cleveland Cavaliers,C,11-Jun,Kansas,14,31,260,1276000
174,Kevin Love,Cleveland Cavaliers,PF,10-Jun,UCLA,0,27,251,19689000
175,Jordan McRae,Cleveland Cavaliers,SG,5-Jun,Tennessee,12,25,179,111196
176,Timofey Mozgov,Cleveland Cavaliers,C,1-Jul,N/A,20,29,275,4950000
177,Iman Shumpert,Cleveland Cavaliers,SG,5-Jun,Georgia Tech,4,25,220,8988765
178,J.R. Smith,Cleveland Cavaliers,SG,6-Jun,N/A,5,30,225,5000000
179,Tristan Thompson,Cleveland Cavaliers,C,9-Jun,Texas,13,25,238,14260870
180,Mo Williams,Cleveland Cavaliers,PG,1-Jun,Alabama,52,33,198,2100000
181,Joel Anthony,Detroit Pistons,C,9-Jun,UNLV,50,33,245,2500000
182,Aron Baynes,Detroit Pistons,C,10-Jun,Washington State,12,29,260,6500000
183,Steve Blake,Detroit Pistons,PG,3-Jun,Maryland,22,36,172,2170465
184,Lorenzo Brown,Detroit Pistons,PG,5-Jun,North Carolina State,17,25,189,111444
185,Reggie Bullock,Detroit Pistons,SF,7-Jun,North Carolina,25,25,205,1252440
186,Kentavious Caldwell-Pope,Detroit Pistons,SG,5-Jun,Georgia,5,23,205,2891760
187,Spencer Dinwiddie,Detroit Pistons,PG,6-Jun,Colorado,8,23,200,845059
188,Andre Drummond,Detroit Pistons,C,11-Jun,Connecticut,0,22,279,3272091
189,Tobias Harris,Detroit Pistons,SF,9-Jun,Tennessee,34,23,235,16000000
190,Darrun Hilliard,Detroit Pistons,SF,6-Jun,Villanova,6,23,205,600000
191,Reggie Jackson,Detroit Pistons,PG,3-Jun,Boston College,1,26,208,13913044
192,Stanley Johnson,Detroit Pistons,SF,7-Jun,Arizona,3,20,245,2841960
193,Jodie Meeks,Detroit Pistons,SG,4-Jun,Kentucky,20,28,210,6270000
194,Marcus Morris,Detroit Pistons,PF,9-Jun,Kansas,13,26,235,5000000
195,Anthony Tolliver,Detroit Pistons,PF,8-Jun,Creighton,43,31,240,3000000
196,Lavoy Allen,Indiana Pacers,PF,9-Jun,Temple,5,27,255,4050000
197,Rakeem Christmas,Indiana Pacers,PF,9-Jun,Syracuse,25,24,250,1007026
198,Monta Ellis,Indiana Pacers,SG,3-Jun,N/A,11,30,185,10300000
199,Paul George,Indiana Pacers,SF,9-Jun,Fresno State,13,26,220,17120106
200,George Hill,Indiana Pacers,PG,3-Jun,IUPUI,3,30,188,8000000
201,Jordan Hill,Indiana Pacers,C,10-Jun,Arizona,27,28,235,4000000
202,Solomon Hill,Indiana Pacers,SF,7-Jun,Arizona,44,25,225,1358880
203,Ty Lawson,Indiana Pacers,PG,11-May,North Carolina,10,28,195,211744
204,Ian Mahinmi,Indiana Pacers,C,11-Jun,N/A,28,29,250,4000000
205,C.J. Miles,Indiana Pacers,SF,6-Jun,N/A,0,29,231,4394225
206,Glenn Robinson III,Indiana Pacers,SG,7-Jun,Michigan,40,22,222,1100000
207,Rodney Stuckey,Indiana Pacers,PG,5-Jun,Eastern Washington,2,30,205,7000000
208,Myles Turner,Indiana Pacers,PF,11-Jun,Texas,33,20,243,2357760
209,Shayne Whittington,Indiana Pacers,PF,11-Jun,Western Michigan,42,25,250,845059
210,Joe Young,Indiana Pacers,PG,2-Jun,Oregon,1,23,180,1007026
211,Giannis Antetokounmpo,Milwaukee Bucks,SF,11-Jun,N/A,34,21,222,1953960
212,Jerryd Bayless,Milwaukee Bucks,PG,3-Jun,Arizona,19,27,200,3000000
213,Michael Carter-Williams,Milwaukee Bucks,PG,6-Jun,Syracuse,5,24,190,2399040
214,Jared Cunningham,Milwaukee Bucks,SG,4-Jun,Oregon State,9,25,195,947276
215,Tyler Ennis,Milwaukee Bucks,PG,3-Jun,Syracuse,11,21,194,1662360
216,John Henson,Milwaukee Bucks,PF,11-Jun,North Carolina,31,25,229,2943221
217,Damien Inglis,Milwaukee Bucks,SF,8-Jun,N/A,17,21,246,855000
218,O.J. Mayo,Milwaukee Bucks,SG,5-Jun,USC,3,28,210,8000000
219,Khris Middleton,Milwaukee Bucks,SG,8-Jun,Texas A&M,22,24,234,14700000
220,Greg Monroe,Milwaukee Bucks,C,11-Jun,Georgetown,15,26,265,16407500
221,Steve Novak,Milwaukee Bucks,SF,10-Jun,Marquette,6,32,225,295327
222,Johnny O'Bryant III,Milwaukee Bucks,PF,9-Jun,LSU,77,23,257,845059
223,Jabari Parker,Milwaukee Bucks,PF,8-Jun,Duke,12,21,250,5152440
224,Miles Plumlee,Milwaukee Bucks,C,11-Jun,Duke,18,27,249,2109294
225,Greivis Vasquez,Milwaukee Bucks,PG,6-Jun,Maryland,21,29,217,6600000
226,Rashad Vaughn,Milwaukee Bucks,SG,6-Jun,UNLV,20,19,202,1733040
227,Justin Anderson,Dallas Mavericks,SG,6-Jun,Virginia,1,22,228,1449000
228,J.J. Barea,Dallas Mavericks,PG,Jun-00,Northeastern,5,31,185,4290000
229,Jeremy Evans,Dallas Mavericks,SF,9-Jun,Western Kentucky,21,28,200,1100602
230,Raymond Felton,Dallas Mavericks,PG,1-Jun,North Carolina,2,31,205,3950313
231,Devin Harris,Dallas Mavericks,PG,3-Jun,Wisconsin,34,33,185,4053446
232,David Lee,Dallas Mavericks,PF,9-Jun,Florida,42,33,245,2085671
233,Wesley Matthews,Dallas Mavericks,SG,5-Jun,Marquette,23,29,220,16407500
234,JaVale McGee,Dallas Mavericks,C,Jul-00,Nevada,11,28,270,1270964
235,Salah Mejri,Dallas Mavericks,C,2-Jul,N/A,50,29,245,525093
236,Dirk Nowitzki,Dallas Mavericks,PF,Jul-00,N/A,41,37,245,8333334
237,Zaza Pachulia,Dallas Mavericks,C,11-Jun,N/A,27,32,275,5200000
238,Chandler Parsons,Dallas Mavericks,SF,10-Jun,Florida,25,27,230,15361500
239,Dwight Powell,Dallas Mavericks,PF,11-Jun,Stanford,7,24,240,845059
240,Charlie Villanueva,Dallas Mavericks,PF,11-Jun,Connecticut,3,31,232,947276
241,Deron Williams,Dallas Mavericks,PG,3-Jun,Illinois,8,31,200,5378974
242,Trevor Ariza,Houston Rockets,SF,8-Jun,UCLA,1,30,215,8193030
243,Michael Beasley,Houston Rockets,SF,10-Jun,Kansas State,8,27,235,306527
244,Patrick Beverley,Houston Rockets,PG,1-Jun,Arkansas,2,27,185,6486486
245,Corey Brewer,Houston Rockets,SG,9-Jun,Florida,33,30,186,8229375
246,Clint Capela,Houston Rockets,PF,10-Jun,N/A,15,22,240,1242720
247,Sam Dekker,Houston Rockets,SF,9-Jun,Wisconsin,7,22,230,1646400
248,Andrew Goudelock,Houston Rockets,PG,3-Jun,Charleston,0,27,200,200600
249,James Harden,Houston Rockets,SG,5-Jun,Arizona State,13,26,220,15756438
250,Montrezl Harrell,Houston Rockets,PF,8-Jun,Louisville,35,22,240,1000000
251,Dwight Howard,Houston Rockets,C,11-Jun,N/A,12,30,265,22359364
252,Terrence Jones,Houston Rockets,PF,9-Jun,Kentucky,6,24,252,2489530
253,K.J. McDaniels,Houston Rockets,SG,6-Jun,Clemson,32,23,205,3189794
254,Donatas Motiejunas,Houston Rockets,PF,Jul-00,N/A,20,25,222,2288205
255,Josh Smith,Houston Rockets,C,9-Jun,N/A,5,30,225,947276
256,Jason Terry,Houston Rockets,SG,2-Jun,Arizona,31,38,185,947276
257,Jordan Adams,Memphis Grizzlies,SG,5-Jun,UCLA,3,21,209,1404600
258,Tony Allen,Memphis Grizzlies,SG,4-Jun,Oklahoma State,9,34,213,5158539
259,Chris Andersen,Memphis Grizzlies,PF,10-Jun,Blinn College,7,37,245,5000000
260,Matt Barnes,Memphis Grizzlies,SF,7-Jun,UCLA,22,36,226,3542500
261,Vince Carter,Memphis Grizzlies,SG,6-Jun,North Carolina,15,39,220,4088019
262,Mike Conley,Memphis Grizzlies,PG,1-Jun,Ohio State,11,28,175,9588426
263,Bryce Cotton,Memphis Grizzlies,PG,1-Jun,Providence,8,23,165,700902
264,Jordan Farmar,Memphis Grizzlies,PG,2-Jun,UCLA,4,29,180,0
265,Marc Gasol,Memphis Grizzlies,C,1-Jul,N/A,33,31,255,19688000
266,JaMychal Green,Memphis Grizzlies,PF,9-Jun,Alabama,0,25,227,845059
267,P.J. Hairston,Memphis Grizzlies,SF,6-Jun,North Carolina,19,23,230,1201440
268,Jarell Martin,Memphis Grizzlies,PF,10-Jun,LSU,10,22,239,1230840
269,Ray McCallum,Memphis Grizzlies,PG,3-Jun,Detroit,5,24,190,0
270,Xavier Munford,Memphis Grizzlies,PG,3-Jun,Rhode Island,14,24,180,0
271,Zach Randolph,Memphis Grizzlies,PF,9-Jun,Michigan State,50,34,260,9638555
272,Lance Stephenson,Memphis Grizzlies,SF,5-Jun,Cincinnati,1,25,230,9000000
273,Alex Stepheson,Memphis Grizzlies,PF,10-Jun,USC,35,28,270,0
274,Brandan Wright,Memphis Grizzlies,PF,10-Jun,North Carolina,34,28,210,5464000
275,Alexis Ajinca,New Orleans Pelicans,C,2-Jul,N/A,42,28,248,4389607
276,Ryan Anderson,New Orleans Pelicans,PF,10-Jun,California,33,28,240,8500000
277,Omer Asik,New Orleans Pelicans,C,Jul-00,N/A,3,29,255,9213483
278,Luke Babbitt,New Orleans Pelicans,SF,9-Jun,Nevada,8,26,225,1100602
279,Norris Cole,New Orleans Pelicans,PG,2-Jun,Cleveland State,30,27,175,3036927
280,Dante Cunningham,New Orleans Pelicans,PF,8-Jun,Villanova,44,29,230,2850000
281,Anthony Davis,New Orleans Pelicans,PF,10-Jun,Kentucky,23,23,253,7070730
282,Bryce Dejean-Jones,New Orleans Pelicans,SG,6-Jun,Iowa State,31,23,203,169883
283,Toney Douglas,New Orleans Pelicans,PG,2-Jun,Florida State,16,30,195,1164858
284,James Ennis,New Orleans Pelicans,SF,7-Jun,Long Beach State,4,25,210,845059
285,Tyreke Evans,New Orleans Pelicans,SG,6-Jun,Memphis,1,26,220,10734586
286,Tim Frazier,New Orleans Pelicans,PG,1-Jun,Penn State,2,25,170,845059
287,Alonzo Gee,New Orleans Pelicans,SF,6-Jun,Alabama,15,29,225,1320000
288,Eric Gordon,New Orleans Pelicans,SG,4-Jun,Indiana,10,27,215,15514031
289,Jordan Hamilton,New Orleans Pelicans,SG,7-Jun,Texas,25,25,220,1015421
290,Jrue Holiday,New Orleans Pelicans,PG,4-Jun,UCLA,11,25,205,10595507
291,Orlando Johnson,New Orleans Pelicans,SG,5-Jun,UC Santa Barbara,0,27,220,55722
292,Kendrick Perkins,New Orleans Pelicans,C,10-Jun,N/A,5,31,270,947276
293,Quincy Pondexter,New Orleans Pelicans,SF,7-Jun,Washington,20,28,220,3382023
294,LaMarcus Aldridge,San Antonio Spurs,PF,11-Jun,Texas,12,30,240,19689000
295,Kyle Anderson,San Antonio Spurs,SF,9-Jun,UCLA,1,22,230,1142880
296,Matt Bonner,San Antonio Spurs,C,10-Jun,Florida,15,36,235,947276
297,Boris Diaw,San Antonio Spurs,C,8-Jun,N/A,33,34,250,7500000
298,Tim Duncan,San Antonio Spurs,C,11-Jun,Wake Forest,21,40,250,5250000
299,Manu Ginobili,San Antonio Spurs,SG,6-Jun,N/A,20,38,205,2814000
300,Danny Green,San Antonio Spurs,SG,6-Jun,North Carolina,14,28,215,10000000
301,Kawhi Leonard,San Antonio Spurs,SF,7-Jun,San Diego State,2,24,230,16407500
302,Boban Marjanovic,San Antonio Spurs,C,3-Jul,N/A,40,27,290,1200000
303,Kevin Martin,San Antonio Spurs,SG,7-Jun,Western Carolina,23,33,199,200600
304,Andre Miller,San Antonio Spurs,PG,3-Jun,Utah,24,40,200,250750
305,Patty Mills,San Antonio Spurs,PG,Jun-00,Saint Mary's,8,27,185,3578947
306,Tony Parker,San Antonio Spurs,PG,2-Jun,N/A,9,34,185,13437500
307,Jonathon Simmons,San Antonio Spurs,SG,6-Jun,Houston,17,26,195,525093
308,David West,San Antonio Spurs,PF,9-Jun,Xavier,30,35,250,1499187
309,Kent Bazemore,Atlanta Hawks,SF,5-Jun,Old Dominion,24,26,201,2000000
310,Tim Hardaway Jr.,Atlanta Hawks,SG,6-Jun,Michigan,10,24,205,1304520
311,Kirk Hinrich,Atlanta Hawks,SG,4-Jun,Kansas,12,35,190,2854940
312,Al Horford,Atlanta Hawks,C,10-Jun,Florida,15,30,245,12000000
313,Kris Humphries,Atlanta Hawks,PF,9-Jun,Minnesota,43,31,235,1000000
314,Kyle Korver,Atlanta Hawks,SG,7-Jun,Creighton,26,35,212,5746479
315,Paul Millsap,Atlanta Hawks,PF,8-Jun,Louisiana Tech,4,31,246,18671659
